Name,Address,Rating,Website,OpenHours,CuisineType,Latitude,Longitude
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis",4.5,http://places.singleplatform.com/pico-de-gallo-food-truck/menu?ref=google,5:00 PM - 1:00 AM,Mexican,39.8099204,-86.2212091
Food truck Mil Amores,"5034 E Raymond St, Indianapolis",4,NA,NA,Mexican,39.7386158,-86.0821965
Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,2:00 PM - 9:30 PM,Mexican,39.8527225,-86.2414365
Taco food truck,"5621 N Parker Ave, Indianapolis",0,NA,12:00 PM - 12:00 AM,Mexican,39.8557077,-86.1137069
King gyros food truck,"4585 S Harding St, Indianapolis",4.7,NA,10:30 AM - 1:00 AM,Mediterranian,39.6981336,-86.1857288
El Buenavista Food Truck,"5210 English Ave, Indianapolis",5,NA,1:59 PM - 4:59 AM,Mexican,39.7608462,-86.0812326
El Viejon Food Truck,"3612 W 30th St, Indianapolis",1,NA,2:30 PM - 1:00 AM,Mexican,39.8099076,-86.2216177
Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis",4.7,NA,3:00 PM - 10:00 PM,Mexican,39.827233,-86.04525
Food Truck Don Luis,"3605 Commercial Dr, Indianapolis",3,http://orderfoodtruckdonluis.com/,6:00 PM - 12:00 PM,Mexican,39.8183177,-86.2269832
Super Tacos food truck,"7202 E Washington St, Indianapolis",4.6,NA,NA,Mexican,39.7725451,-86.04035
KG Slider Station,"3748 Lafayette Rd, Indianapolis",5,http://www.keysgourmet.com/#!contact-us/clx0,12:00 PM - 8:00 PM,BBQ,39.8229185,-86.2344232
Juannita's Mexican Food Truck,"6996 East 21st St, Indianapolis",3,http://juannitas.com/,11:00 AM - 11:00 PM,Mexican,39.7966114,-86.0464476
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis",4.3,NA,12:00 PM - 12:00 AM,Mexican,39.7882877,-86.2153062
ClusterTruck,"729 N Pennsylvania St, Indianapolis",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,8:00 AM - 10:00 AM,Mexican,39.7775861,-86.1556021
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis",5,http://mercersnightowl.com/,8:30 AM - 3:30 AM,Mexican,39.7616862,-86.1579303
ROSE’S foodtruck Honduras,"3759 W Washington St, Indianapolis",0,NA,6:00 AM - 3:00 PM,Mexican,39.7604686,-86.2247504
3 Marias Mex Food Truck,"3205 E Washington St, Indianapolis",0,NA,6:00 PM - 10:00 PM,Mexican,39.768243,-86.1100464
Tha Corn Man,"2442 Central Ave, Indianapolis",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,3:00 PM - 9:00 PM,NA,39.8024795,-86.1499178
Fiesta on The Go,"2719 E 38th St, Indianapolis",4,NA,4:00 PM - 10:00 PM,Mexican,39.8251041,-86.1177611
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis",4.5,NA,5:00 PM - 12:00 PM,Mexican,39.764207,-86.211581
